attack,defense,predicted,empirical,abs_error,n_trials
5,0,0.7000000000000001,0.721,0.020999999999999908,1000
5,5,0.55,0.541,0.009000000000000008,1000
5,10,0.4,0.4,0.0,1000
5,15,0.25000000000000006,0.238,0.012000000000000066,1000
5,20,0.10000000000000009,0.113,0.012999999999999914,1000
5,25,0.05,0.048,0.0020000000000000018,1000
10,0,0.8500000000000001,0.838,0.012000000000000122,1000
10,5,0.7000000000000001,0.715,0.014999999999999902,1000
10,10,0.55,0.55,0.0,1000
10,15,0.4,0.369,0.031000000000000028,1000
10,20,0.25000000000000006,0.244,0.006000000000000061,1000
10,25,0.10000000000000009,0.116,0.015999999999999917,1000
15,0,0.95,0.948,0.0020000000000000018,1000
15,5,0.8500000000000001,0.843,0.007000000000000117,1000
15,10,0.7000000000000001,0.69,0.01000000000000012,1000
15,15,0.55,0.561,0.01100000000000001,1000
15,20,0.4,0.382,0.018000000000000016,1000
15,25,0.25000000000000006,0.258,0.007999999999999952,1000
20,0,0.95,0.948,0.0020000000000000018,1000
20,5,0.95,0.944,0.006000000000000005,1000
20,10,0.8500000000000001,0.858,0.007999999999999896,1000
20,15,0.7000000000000001,0.693,0.007000000000000117,1000
20,20,0.55,0.542,0.008000000000000007,1000
20,25,0.4,0.395,0.0050000000000000044,1000
25,0,0.95,0.954,0.0040000000000000036,1000
25,5,0.95,0.953,0.0030000000000000027,1000
25,10,0.95,0.945,0.0050000000000000044,1000
25,15,0.8500000000000001,0.845,0.0050000000000001155,1000
25,20,0.7000000000000001,0.742,0.041999999999999926,1000
25,25,0.55,0.556,0.006000000000000005,1000
30,0,0.95,0.948,0.0020000000000000018,1000
30,5,0.95,0.957,0.007000000000000006,1000
30,10,0.95,0.948,0.0020000000000000018,1000
30,15,0.95,0.956,0.006000000000000005,1000
30,20,0.8500000000000001,0.856,0.005999999999999894,1000
30,25,0.7000000000000001,0.732,0.03199999999999992,1000
