enemy_attack,enemy_defense,player_win_rate,mean_rounds,sd_rounds,n_trials
5,0,1.0,3.89,0.6147357155721473,200
5,5,1.0,4.44,1.032666451474047,200
5,10,1.0,6.41,2.154506904143034,200
5,15,1.0,9.49,3.5608847215263792,200
10,0,1.0,3.99,0.6479969135728966,200
10,5,1.0,4.59,1.0917417276993675,200
10,10,1.0,6.485,2.133020159304642,200
10,15,0.97,8.925,3.1015117281738593,200
15,0,1.0,3.98,0.6477653896280658,200
15,5,1.0,4.555,0.9627954092121545,200
15,10,0.91,6.27,1.6331258371601376,200
15,15,0.665,8.055,2.2917187872860842,200
20,0,0.995,3.945,0.6722908596731031,200
20,5,0.94,4.445,0.9203124469439713,200
20,10,0.575,5.53,1.1743508845315356,200
20,15,0.295,6.21,1.2751078385768004,200
