algo,grid,n_rooms,seed,time_s,nodes_explored,backtracks,succeeded,error,rooms_built,connected,has_key,solvable,start_boss_dist,branching,dead_end_ratio,n_start,n_normal,n_treasure,n_boss,n_trap,n_merchant
CSP,5,6,0,0.000257980000014868,7,0,1,,6,1,1,1,3,2.3333333333333335,0.0,1,1,1,1,2,0
CSP,5,6,1,0.00020183599997380952,7,0,1,,6,1,1,1,3,2.3333333333333335,0.0,1,2,1,1,1,0
CSP,5,6,2,0.0002008430000159933,7,0,1,,6,1,1,1,3,2.3333333333333335,0.0,1,1,2,1,0,1
CSP,5,6,3,0.0002070250000087981,7,0,1,,6,1,1,1,2,2.3333333333333335,0.0,1,3,1,1,0,0
CSP,5,6,4,0.0001887409999881129,7,0,1,,6,1,1,1,2,2.3333333333333335,0.0,1,1,2,1,0,1
CSP,5,6,5,0.00018313099997158133,7,0,1,,6,1,1,1,3,2.3333333333333335,0.0,1,0,2,1,1,1
CSP,5,6,6,0.0001880400000118243,7,0,1,,6,1,0,0,2,2.3333333333333335,0.0,1,2,0,1,1,1
CSP,5,6,7,0.00023049900005389645,7,0,1,,6,1,0,0,3,2.3333333333333335,0.0,1,3,0,1,0,1
CSP,5,6,8,0.00020251600005849468,7,0,1,,6,1,0,0,3,2.3333333333333335,0.0,1,2,0,1,1,1
CSP,5,6,9,0.0001868479999984629,7,0,1,,6,1,1,1,3,2.3333333333333335,0.0,1,2,1,1,1,0
CSP,5,6,10,0.0002099209999641971,7,0,1,,6,1,1,1,3,2.3333333333333335,0.0,1,2,2,1,0,0
CSP,5,6,11,0.00024221000001034554,7,0,1,,6,1,1,1,3,2.3333333333333335,0.0,1,2,2,1,0,0
CSP,5,6,12,0.0001872980000143798,7,0,1,,6,1,1,1,3,2.3333333333333335,0.0,1,1,1,1,1,1
CSP,5,6,13,0.00018950200001199846,7,0,1,,6,1,1,1,3,2.3333333333333335,0.0,1,1,2,1,0,1
CSP,5,6,14,0.00020179500006634044,7,0,1,,6,1,0,0,3,2.3333333333333335,0.0,1,1,0,1,2,1
CSP,5,6,15,0.00020047200007411448,7,0,1,,6,1,1,1,3,2.3333333333333335,0.0,1,2,1,1,1,0
CSP,5,6,16,0.00018941200005428982,7,0,1,,6,1,1,1,2,2.3333333333333335,0.0,1,2,1,1,1,0
CSP,5,6,17,0.00017944399996849825,7,0,1,,6,1,1,1,3,2.3333333333333335,0.0,1,1,2,1,0,1
CSP,5,6,18,0.00021851700000752317,7,0,1,,6,1,1,1,3,2.3333333333333335,0.0,1,2,1,1,1,0
CSP,5,6,19,0.0002142089999779273,7,0,1,,6,1,0,0,3,2.3333333333333335,0.0,1,3,0,1,0,1
CSP,5,6,20,0.0001825599999847327,7,0,1,,6,1,1,1,3,2.3333333333333335,0.0,1,3,1,1,0,0
CSP,5,6,21,0.00018320100002711115,7,0,1,,6,1,1,1,2,2.3333333333333335,0.0,1,2,1,1,1,0
CSP,5,6,22,0.0001813170000559694,7,0,1,,6,1,1,1,3,2.3333333333333335,0.0,1,2,1,1,0,1
CSP,5,6,23,0.00018442300006427104,7,0,1,,6,1,1,1,3,2.3333333333333335,0.0,1,2,1,1,1,0
CSP,5,6,24,0.00018216799992387678,7,0,1,,6,1,1,1,3,2.3333333333333335,0.0,1,1,1,1,2,0
CSP,5,6,25,0.00019221699994886876,7,0,1,,6,1,1,1,3,2.3333333333333335,0.0,1,2,1,1,0,1
CSP,5,6,26,0.0001724709999280094,7,0,1,,6,1,0,0,3,2.3333333333333335,0.0,1,1,0,1,2,1
CSP,5,6,27,0.00018947199998819997,7,0,1,,6,1,0,0,3,2.3333333333333335,0.0,1,4,0,1,0,0
CSP,5,6,28,0.00019087500004388858,7,0,1,,6,1,1,1,3,2.3333333333333335,0.0,1,1,2,1,1,0
CSP,5,6,29,0.0001959239999678175,7,0,1,,6,1,1,1,3,2.3333333333333335,0.0,1,1,2,1,0,1
BFS,5,6,0,6.199500001002889e-05,2,0,1,,6,1,1,1,2,1.6666666666666667,0.6666666666666666,1,1,1,1,1,1
BFS,5,6,1,4.182800000762654e-05,2,0,1,,6,1,0,0,2,1.6666666666666667,0.6666666666666666,1,2,0,1,2,0
