algo,grid,n_rooms,n_runs,success_rate,solvable_rate,mean_time_s,sd_time_s,mean_nodes,mean_backtracks,mean_rooms_built,mean_branching,mean_dead_end_ratio,mean_start_boss_dist
BFS,5,6,10,1.0,0.4,4.996069999947394e-05,4.91539535374528e-06,3,0,6,1.6666666666666667,0.6666666666666666,2
BFS,8,12,10,1.0,0.5,9.593450000693338e-05,7.809766081769359e-06,5,0,12,1.8333333333333333,0.6666666666666666,2
BFS,10,25,10,1.0,0.9,0.00020336129999805054,1.5396776472394323e-05,14,0,25,1.92,0.48,3
CSP,5,6,10,1.0,0.7,0.0002412777000074584,3.502514945197828e-05,7,0,6,2.3333333333333335,0.0,2.7
CSP,8,12,10,1.0,1.0,0.000566765100001021,2.4546508691348598e-05,13,0,12,2.6666666666666665,0.0,3.9
CSP,10,25,10,1.0,1.0,0.0016135256999973535,3.459152440309556e-05,26,0,25,3.12,0.0,3.7
DFS,5,6,10,1.0,0.7,7.523170000354185e-05,1.2858381144466804e-05,6,0,6,1.6666666666666667,0.3333333333333333,5
DFS,8,12,10,1.0,1.0,0.00012271010000972638,8.03224245151623e-06,12,0,12,1.8333333333333333,0.16666666666666666,11
DFS,10,25,10,1.0,1.0,0.00025496940000380164,1.815121630146995e-05,25,0,25,1.92,0.096,21.5
Greedy,5,6,10,1.0,0.7,0.00015534169999114055,5.974110664512757e-06,32.8,0,6,1.7000000000000002,0.4666666666666667,3.2
Greedy,8,12,10,1.0,0.9,0.0004248360000019602,2.715093858326955e-05,104.1,0,12,1.8666666666666667,0.225,9.1
Greedy,10,25,10,1.0,1.0,0.0013032376999944973,6.424254816221015e-05,333.5,0,25,1.968,0.20400000000000001,17.2
